FID,SHAPE,NAME,ADRESSE,BETREUUNG,ART,ART_TXT,SKZ,TELEFON,WEBLINK1,SE_SDO_ROWID,SE_ANNO_CAD_DATA
SCHULEOGD.631769,POINT (16.329581328436753 48.15999430789968),MS Am Schöpfwerk 27,"12., Am Schöpfwerk 27",Offene Schule<br>Ganztagsschule in getrennter Abfolge,2,Mittelschule (öffentlich),912072,01 667 81 78-211,http://nimm12.schule.wien.at/,631769,
SCHULEOGD.631770,POINT (16.347931286268143 48.19492412928424),WMS Loquaiplatz 4,"6., Loquaiplatz 4",Ganztagsschule in getrennter Abfolge<br>Offene Schule,2,Mittelschule (öffentlich),906012,01 4000 560 980,http://loquai.schule.wien.at/,631770,
SCHULEOGD.631771,POINT (16.48958065763524 48.241163821263996),MS Campus Berresgasse,"22., Scheedgasse 2",Offene Schule<br>Ganztagsschule in getrennter Abfolge,2,Mittelschule (öffentlich),922092,01 4000  560 380,http://msi-campus-berresgasse.schule.wien.at,631771,
SCHULEOGD.631772,POINT (16.318601368533052 48.150354360455715),WMS Anton-Baumgartner-Straße 119,"23., Anton-Baumgartner-Straße 119",Offene Schule<br>Ganztagsschule in getrennter Abfolge,2,Mittelschule (öffentlich),923022,01 4000 563 890,http://www.oekoschule.at/,631772,
SCHULEOGD.631773,POINT (16.418950983962258 48.226563934427446),MS Am Kaisermühlendamm 2,"22., Am Kaisermühlendamm 2",Ganztagsschule in getrennter Abfolge<br>Offene Schule,2,Mittelschule (öffentlich),922022,01 263 69 90-211,http://www.sms22.at/,631773,
SCHULEOGD.631774,POINT (16.39418099498275 48.147424327168046),MS Wendstattgasse 3,"10., Wendstattgasse 3",Ganztagsschule in getrennter Abfolge<br>Offene Schule,2,Mittelschule (öffentlich),910182,01 4000 561 090,http://www.first-vbs.at/,631774,
SCHULEOGD.631775,POINT (16.44817088992614 48.26187374791626),MS Aderklaaer Straße 2,"21., Aderklaaer Straße 2",Ganztagsschule in getrennter Abfolge<br>Offene Schule,2,Mittelschule (öffentlich),921172,01 258 25 62-211,http://www.msleopoldau.at/,631775,
SCHULEOGD.631776,POINT (16.397941136709164 48.262853774768644),MS Rudolf-Schön-Weg 1,"21., Rudolf-Schön-Weg 1",Offene Schule<br>Ganztagsschule in getrennter Abfolge,2,Mittelschule (öffentlich),921152,01 272 02 45-211,http://www.rudolf-schoen-weg.at/,631776,
SCHULEOGD.631777,POINT (16.221141926905545 48.209694138082135),MS Hadersdorf Hauptstraße 80,"14., Deutschordenstraße 4",Offene Schule<br>Ganztagsschule in getrennter Abfolge,2,Mittelschule (öffentlich),914012,01 4000 561 230,www.sms14.at,631777,
SCHULEOGD.631778,POINT (16.412300945608404 48.17556418231837),MS Enkplatz 4/I,"11., Enkplatz 4/I",Offene Schule<br>Ganztagsschule in getrennter Abfolge,2,Mittelschule (öffentlich),911022,01 4000 560 310,http://enk1.schule.wien.at/,631778,
SCHULEOGD.631779,POINT (16.28139158943154 48.17903424705188),MS Veitingergasse 9,"13., Veitingergasse 9",Ganztagsschule in getrennter Abfolge<br>Offene Schule,2,Mittelschule (öffentlich),913022,01 4000 561 220,http://veitingergasse.schule.wien.at/,631779,
SCHULEOGD.631780,POINT (16.349291216747492 48.149414346009976),GRg 23 Draschestraße 90-92,"23., Draschestraße 90-92",Ganztagsschule in getrennter Abfolge<br>Ganztagsschule in verschränkter Abfolge,6,Allgemeinbildende höhere Schule (öffentlich),923076,01 617 42 66,http://www.grg23vbs.ac.at/,631780,
