FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.8753990,8753990,POINT (16.394523584953582 48.205786988787104),Löwengasse,Löwengasse,N29,,10,https://anachb.vor.at?P=SQ&input=Wien%20Löwengasse&start=1,
OEFFHALTESTOGD.8753991,8753991,POINT (16.394568484161592 48.205876788936344),Löwengasse,Löwengasse,1,,1,https://anachb.vor.at?P=SQ&input=Wien%20Löwengasse&start=1,
OEFFHALTESTOGD.8753992,8753992,POINT (16.395439880327075 48.20575108867589),Löwengasse,Löwengasse,1,,1,https://anachb.vor.at?P=SQ&input=Wien%20Löwengasse&start=1,
OEFFHALTESTOGD.8753993,8753993,POINT (16.35556388045949 48.209301196136636),Rathaus U (Stadiongasse),Rathaus U (Stadiongasse),2,,1,https://anachb.vor.at?P=SQ&input=Wien%20Rathaus&start=1,
OEFFHALTESTOGD.8753994,8753994,POINT (16.3547822835679 48.20916949787113),Rathaus U (Josefstädter Str.),Rathaus U (Josefstädter Str.),2,,1,https://anachb.vor.at?P=SQ&input=Wien%20Rathaus&start=1,
OEFFHALTESTOGD.8753995,8753995,POINT (16.427284979652487 48.17337582313542),Ravelinstraße,Ravelinstraße,72A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Ravelinstraße&start=1,
OEFFHALTESTOGD.8753996,8753996,POINT (16.42713228050419 48.173321923673114),Ravelinstraße,Ravelinstraße,72A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Ravelinstraße&start=1,
OEFFHALTESTOGD.8753997,8753997,POINT (16.367457457632547 48.16292711079456),Laxenburger Str./Sahulkastr.,Laxenburger Str./Sahulkastr.,"66A, N66",,2,https://anachb.vor.at?P=SQ&input=Wien%20Laxenburger%20Str./Sahulkastr.&start=1,
OEFFHALTESTOGD.8753998,8753998,POINT (16.367457457632547 48.16292711079456),Laxenburger Str./Sahulkastr.,Laxenburger Str./Sahulkastr.,N66,,10,https://anachb.vor.at?P=SQ&input=Wien%20Laxenburger%20Str./Sahulkastr.&start=1,
OEFFHALTESTOGD.8753999,8753999,POINT (16.367457457632547 48.16292711079456),Laxenburger Str./Sahulkastr.,Laxenburger Str./Sahulkastr.,N66,,11,https://anachb.vor.at?P=SQ&input=Wien%20Laxenburger%20Str./Sahulkastr.&start=1,
OEFFHALTESTOGD.8754000,8754000,POINT (16.286016643005183 48.225432162571465),Röntgengasse,Röntgengasse,44A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Röntgengasse&start=1,
OEFFHALTESTOGD.8754001,8754001,POINT (16.499347520473716 48.24043905922196),Podhagskygasse,Podhagskygasse,95A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Podhagskygasse&start=1,
OEFFHALTESTOGD.8754002,8754002,POINT (16.396032706556838 48.15473563134369),Kronawettergasse,Kronawettergasse,"68B, N68, 68A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Kronawettergasse&start=1,
OEFFHALTESTOGD.8754003,8754003,POINT (16.396032706556838 48.15473563134369),Kronawettergasse,Kronawettergasse,N68,,10,https://anachb.vor.at?P=SQ&input=Wien%20Kronawettergasse&start=1,
OEFFHALTESTOGD.8754004,8754004,POINT (16.396032706556838 48.15473563134369),Kronawettergasse,Kronawettergasse,N68,,11,https://anachb.vor.at?P=SQ&input=Wien%20Kronawettergasse&start=1,
