FID,OBJECTID,SHAPE,TEXT13ID,F_TYP,T_TEXT,T_LANG,O,P,O_UEREG,O_REGION,O_LOKAL,P_WLD,P_WAS,P_WIE,P_WGT,P_LW,P_PK,P_GPK,P_GST,P_SGR,P_AGR,P_RGR,P_URB,Q_MOB,Q_SPI,Q_GRI,Q_HUN,Q_BAB,Q_WC,Q_SPO,Q_TRB,UMFANG,FLAECHE,SE_ANNO_CAD_DATA
OEFFGRUENFLOGD.2241,2241,"POLYGON ((16.31745587189754 48.221643215355115, 16.31677481453143 48.22187748731537, 16.316378267717077 48.22136846417026, 16.31705151608884 48.22113391176243, 16.31745587189754 48.221643215355115))",Stöberplatz,L,Stöberplatz,Stöberplatz,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,12,1,241.25563315,3624.36705836,
OEFFGRUENFLOGD.2242,2242,"MULTIPOLYGON (((16.318972096703334 48.21499385137634, 16.318249231928906 48.21499486586834, 16.317977297222733 48.21418628105879, 16.31878453047004 48.2141962418514, 16.31883995351394 48.21420215147824, 16.31887358246647 48.21423475674054, 16.318972096703334 48.21499385137634), (16.318480421000675 48.214958636488504, 16.318794534728372 48.21496178940467, 16.318805288423324 48.21485094754155, 16.31875930422879 48.21434525484776, 16.318405679400925 48.214350057428774, 16.31847176197343 48.21487608778781, 16.318486342642043 48.21487327335649, 16.318480421000675 48.214958636488504)))",Familienplatz,L,Familienplatz,Familienplatz,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,486.82000119,3613.88754169,
OEFFGRUENFLOGD.2243,2243,"POLYGON ((16.311910192795626 48.22268247963484, 16.31130386311953 48.22276400857139, 16.310698096004614 48.222792564754684, 16.30993743534969 48.22279940916921, 16.30922362278769 48.22277990954967, 16.30870334492742 48.222750199498414, 16.308472542757176 48.2227396223787, 16.307738171180056 48.22266462084008, 16.306975685646634 48.22256946283716, 16.307359656021394 48.220866255538695, 16.30741441019713 48.22061733678868, 16.308198693822405 48.22070881180306, 16.308220199163156 48.220510158155214, 16.30839392581348 48.220530434681535, 16.30958202302621 48.220674874657426, 16.30994561261585 48.220729477905046, 16.309800945184442 48.22126712424954, 16.309805042877503 48.22126752627979, 16.309795558250002 48.221274587339614, 16.309459326317523 48.2216428697546, 16.30946695156399 48.22165325861325, 16.30927044139078 48.22255239365444, 16.31042320589714 48.22267073650048, 16.311095859276936 48.222641117123224, 16.31122137682137 48.222460112093685, 16.31147962496938 48.222487147037945, 16.311957017467936 48.222416471940925, 16.312217935818406 48.22235084841202, 16.31223785754289 48.22248200061702, 16.31221653348081 48.22261176742078, 16.312219114794036 48.22261747860902, 16.311910192795626 48.22268247963484))",Kongreßpark,L,Kongreßpark,Kongreßpark,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,2,1,1302.56238127,45618.74845546,
OEFFGRUENFLOGD.2244,2244,"POLYGON ((16.307866930269274 48.2163549735196, 16.30769164932195 48.21638027315537, 16.30742855798668 48.21642432662547, 16.307341675552664 48.215828077919646, 16.30727740034693 48.215582244464656, 16.307190395781454 48.215321498187656, 16.307208685174732 48.21531967896319, 16.3073951908841 48.21530113672528, 16.307508473047093 48.21528987308479, 16.307866930269274 48.2163549735196))",Musilplatz,L,Musilplatz,Musilplatz,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,302.84258464,3297.93632325,
OEFFGRUENFLOGD.2245,2245,"POLYGON ((16.294503976308786 48.21525206786855, 16.293968855874013 48.21529178042385, 16.293972368894288 48.21522658125336, 16.293992767636293 48.21512906951762, 16.29404364103086 48.215070351047316, 16.294097855074483 48.21506812255114, 16.294503976308786 48.21525206786855))",Katharinenru*,L,Katharinenruhe,Katharinenruhe,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,106.25513064,554.72983189,
OEFFGRUENFLOGD.2246,2246,"POLYGON ((16.36185649419477 48.25974035891948, 16.361929514371443 48.25984169470131, 16.36202817310354 48.25989654742697, 16.362206597023217 48.259935019013184, 16.361967680829217 48.25994506623911, 16.36178572764275 48.25994253957701, 16.36165683171777 48.25992710022803, 16.36143538983999 48.25986860427312, 16.361674234510158 48.25971594924879, 16.361859587350093 48.25960040316496, 16.36185649419477 48.25974035891948))",Pfarrer-Mits*,L,Pfarrer-Mitschke-Park,Pfarrer-Mitschke-Park,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,153.59280425,822.16072769,
OEFFGRUENFLOGD.2247,2247,"POLYGON ((16.31303216932125 48.21554673793679, 16.31300995130371 48.21558045785752, 16.312263342479195 48.215694968668835, 16.312199016233986 48.21567668842404, 16.312086969155605 48.21532255922221, 16.312121698517615 48.21529333866605, 16.312894410089427 48.21517461803086, 16.31303216932125 48.21554673793679))",Mildeplatz,L,Mildeplatz,Mildeplatz,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,12,1,212.16334941,2872.07987353,
OEFFGRUENFLOGD.2248,2248,"POLYGON ((16.335797945531503 48.21320604132406, 16.33564239296981 48.21381841900898, 16.334757808482827 48.21371471043807, 16.334913371303074 48.21310120889326, 16.335797945531503 48.21320604132406))",Yppenplatz,L,Yppenplatz,Yppenplatz,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,123,1,271.76834181,4614.61562502,
OEFFGRUENFLOGD.2249,2249,"POLYGON ((16.32639694891512 48.212754291562185, 16.32550157142727 48.21296976747808, 16.32548435569258 48.21293351263159, 16.326218339845965 48.21233215949494, 16.32639694891512 48.212754291562185))",Johann-NepoB*,L,Johann-Nepomuk-Berger-Pl.,Johann-Nepomuk-Berger-Platz,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,210.03013048,1873.49361695,
OEFFGRUENFLOGD.2250,2250,"POLYGON ((16.30987117897722 48.2128520457729, 16.30893015593825 48.21299150326011, 16.308759397346765 48.212497681155206, 16.3096942239228 48.212357662459944, 16.30987117897722 48.2128520457729))",Stillfriedpl*,L,Stillfriedplatz,Stillfriedplatz,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,12,1,255.71525872,4030.52446875,
OEFFGRUENFLOGD.2251,2251,"POLYGON ((16.308731140828584 48.2094874913088, 16.307782626222703 48.20963059072885, 16.307713863832227 48.20940237197999, 16.308644867973932 48.20926039309591, 16.308731140828584 48.2094874913088))",Park Wiesber*,L,Park Wiesberggasse,Parkanlage Wiesberggasse,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,12,1,195.18404531,1859.44387188,
