FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
,,POINT (16.39232274292899 48.21853450959927),,,"1, 175, 2, 5, 5B, 71, 80A, 82A, CJX9, N25, N81, O, R 21222, R1, R3, REX1, REX2, REX3, REX92, S1, S2, S3, S4, S7, SV900, SV903, SV907, U1, U2, U2Z",,,,
,,POINT (16.333815703097343 48.15017787212812),,,"66A, 67B, N66, SEV , SEV N66, WLB",,,,
,,POINT (16.35835761488466 48.23563184898253),,,"35A, 37A, D, E4, N35, N36, N8, R40, REX 19132, REX4, REX41, S40, U4, U6",,,,
,,POINT (16.42024239320742 48.2708557420381),,,"30A, 31A, 32A, CJX9, N30, REX 24212, REX 24312, REX 27305, REX 27345, REX1, REX2, REX7, S1, S2, S3, S7, SV901",,,,
,,POINT (16.407333504675613 48.16695654642477),,,"15A, R 7435, R95, REX 9411, REX 9415, REX 9421, REX 9423, REX 9457, REX6, REX62, REX63, REX64, S60, SV700",,,,
,,POINT (16.41999965513396 48.170179723235776),,,"11, 217, 218, 272, 69A, 71, 72A, 73A, D, N71, R 2548, REX1, REX8, REX81, S80, SV910, U3",,,,
,,POINT (16.386268136256312 48.19478502641583),,,"1, 71, 77A, CJX9, D, N71, O, R 21222, R3, REX1, REX2, REX3, REX7, REX92, S1, S2, S3, S4, S7, SV907",,,,
,,POINT (16.367655105882672 48.19835674139007),,,"1, 62, N62, N66, WLB",,,,
,,POINT (16.378183320704768 48.174148650366455),,,"11, 14A, 227, 6, 65A, 66A, 68A, 68B, 7A, N6, N65, N66, N67, N68, U1",,,,
,,POINT (16.391316595812246 48.202518106741714),,,"4A, 74A, N75, U3",,,,
,,POINT (16.367493439763944 48.22213452795063),,,U4,,,,
,,POINT (16.330042754488208 48.17337588359109),,,"15A, 62A, 7A, 7B, N62, N8, WLB",,,,
,,POINT (16.37112261471922 48.216915350367564),,,"1, 2, 31, 3A, 71, D, E4, N25, N31, N38, N60, N66, U2, U2Z, U4",,,,
,,POINT (16.362256253443515 48.21393447049287),,,"1, 1A, 2, 37, 38, 40, 40A, 41, 42, 43, 44, 71, D, N25, N38, N41, N43, N60, N66, U2",,,,
,,POINT (16.377886873814607 48.21174357067371),,,"1, 2, 2A, 71, D, N25, N29, N31, N38, N60, N66, U1, U2Z, U4",,,,
,,POINT (16.40744130486774 48.19402743753725),,,"18, 77A, 80A, N75, U3",,,,
,,POINT (16.328389896215832 48.197883767968484),,,"12A, 49, 9, N49, U3",,,,
,,POINT (16.31946972406869 48.18589483054359),,,"10A, N60, U4",,,,
,,POINT (16.331659733266218 48.163448430207644),,,WLB,,,,
,,POINT (16.30969597995417 48.12991038426384),,,"207, 260, 266, 268, 269, 270, 61B, N64, SEV 207, SEV 266, U6, WLB",,,,
,,POINT (16.383294806950484 48.23618233072993),,,"37A, 5A, SV900",,,,
,,POINT (16.335351844633763 48.18511022448113),,,"12A, N60, N8, U4, U6",,,,
,,POINT (16.342493414128352 48.18828440498012),,,"18, 6, N60, U4",,,,
,,POINT (16.344227094824976 48.18045034161037),,,"18, 62, WLB",,,,
,,POINT (16.359139134709288 48.18062111066979),,,"096, 1, 1155, 1158, 14A, 18, 209, 303, 309, 311, 6, 6011, 62, 7940, 7941, B01, B05, B23, B24, B25, CJX9, N6, N62, R 21222, R3, REX1, REX2, REX3, REX92, S1, S2, S3, S4, S80, WLB",,,,
,,POINT (16.36696340029157 48.19259026934945),,,"1, 62, N62, WLB",,,,
,,POINT (16.32892887445583 48.183660835722826),,,"10A, 63A, 7A, 9A, N60, U4",,,,
,,POINT (16.335783029516605 48.17550856996958),,,"59A, 6, 62, N8, WLB",,,,
,,POINT (16.3439307528489 48.22097944826733),,,"40, 41, 42, 42E, 9, N8, U6",,,,
,,POINT (16.50408167760228 48.23463246328773),,,"84A, 89A, 95A, 99A, 99B, N84, R 2548, REX8, REX81, S80, SV910, U2",,,,
,,POINT (16.384642145857477 48.21480835194291),,,"5A, N25, U1",,,,
,,POINT (16.328003614575675 48.140647521353614),,,"303, SEV 303, WLB",,,,
,,POINT (16.331183660218095 48.18105534657848),,,"10A, 63A, U6",,,,
,,POINT (16.50846535620879 48.22638352046452),,,"84A, 88A, 88B, 89A, 99A, 99B, N84, U2",,,,
,,POINT (16.367646208833403 48.260235525152254),,,"38B, 400, D, E4, N36, S40",,,,
,,POINT (16.399545072159235 48.1423888884584),,,"17A, 226, 227, 266, 68B, 70A, N68, U1",,,,
,,POINT (16.352877924420405 48.23147619215664),,,"35A, 37, 37A, 38, D, E4, N35, N36, N38, N8, U6",,,,
,,POINT (16.275712945778885 48.19228492795592),,,"47A, 54A, 54B, N54, U4",,,,
,,POINT (16.34426318775447 48.24442061533653),,,"38, 39A, 415, N38, S45",,,,
,,POINT (16.369568501809926 48.202290521134714),,,"1, 2, 2A, 303, 59A, 62, 71, D, N25, N38, N46, N49, N60, N62, N66, N71, N75, WLB",,,,
,,POINT (16.311663384769126 48.21204599082756),,,"33, 44, 45A, 46, 46A, 46B, 48A, N46, S45, U3",,,,
,,POINT (16.367143104110752 48.19602745299376),,,"1, 62, N62, WLB",,,,
,,POINT (16.30532128582012 48.19267718666272),,,"S45, S50",,,,
,,POINT (16.31338808471988 48.1368019690763),,,"61A, 64A, N64, U6",,,,
