FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
,,POINT (16.41552619681968 48.288494381885585),,,"30, 31, N31",,,,
,,POINT (16.492668624717343 48.2789598247886),,,"25A, 25B, 511, 520",,,,
,,POINT (16.43696882438121 48.24014599904617),,,"26A, N26",,,,
,,POINT (16.30125191193496 48.18585894203584),,,"56A, 56B, 58A, 58B",,,,
,,POINT (16.301817910416347 48.186020640867945),,,"56A, 56B, 58A, 58B",,,,
,,POINT (16.2911189285014 48.16221416123893),,,"58A, 58B, 63A",,,,
,,POINT (16.290984229153622 48.16181866360785),,,"58B, 63A",,,,
,,POINT (16.291424427041598 48.16175876314539),,,"56A, 58A",,,,
,,POINT (16.291864525537928 48.162250060855115),,,63A,,,,
,,POINT (16.412444929801026 48.2298484629896),,,N25,,,,
,,POINT (16.28200106050213 48.15241641410656),,,"56A, 58B, 60A",,,,
,,POINT (16.397497042688588 48.25822293669941),,,"176, 26, 33A, 34A, 850, N20, N29, N31",,,,
,,POINT (16.383689964668253 48.225533801429115),,,"1, 2, 5, N29",,,,
,,POINT (16.42528175722012 48.22217639164),,,"92A, 92B, N90",,,,
,,POINT (16.464906267418115 48.2254320516914),,,26A,,,,
,,POINT (16.47487751827274 48.225342246268724),,,22A,,,,
,,POINT (16.251220297240913 48.13727563534583),,,"250, 253, N61",,,,
,,POINT (16.41770891012834 48.16172268488543),,,72A,,,,
,,POINT (16.244110436927503 48.217699525679635),,,52A,,,,
,,POINT (16.405222532045975 48.27753704022855),,,"30A, 31A, 32A, 36A, 36B",,,,
,,POINT (16.44376006580408 48.22170948270522),,,94A,,,,
,,POINT (16.40526743554889 48.20887606729443),,,1,,,,
,,POINT (16.35463862559724 48.238716157134235),,,37,,,,
,,POINT (16.372056756253972 48.17839583345108),,,"1, 11, 120, 14A, 18, 200, 210, N66, O, U2Z",,,,
,,POINT (16.355204555469484 48.19072788493916),,,"12A, 14A, 59A, N62",,,,
,,POINT (16.479306227096522 48.24739663857186),,,85A,,,,
,,POINT (16.283690052838093 48.224600268219895),,,44A,,,,
,,POINT (16.46530154231057 48.208756330937),,,95A,,,,
,,POINT (16.470296069714557 48.17346569655898),,,"76A, 76B, 79B",,,,
,,POINT (16.322173606839 48.18340324108881),,,10A,,,,
,,POINT (16.39779337385959 48.13803091028337),,,"17A, N17",,,,
,,POINT (16.341972484815933 48.23706477212406),,,10A,,,,
,,POINT (16.28659153816483 48.2243130679269),,,44A,,,,
,,POINT (16.396104563863833 48.19649453199558),,,"74A, 77A",,,,
,,POINT (16.350641083599708 48.19496766817298),,,"13A, 14A, 57A, N71",,,,
,,POINT (16.461923775052597 48.14807112269526),,,"71A, 71B, N71",,,,
,,POINT (16.374859521899506 48.163718102310746),,,15A,,,,
,,POINT (16.360172116154676 48.17979143401451),,,14A,,,,
,,POINT (16.52645401844976 48.21397020177831),,,"26A, 550, 552, 88A, 88B, N26",,,,
,,POINT (16.526557351548302 48.215017763923),,,98A,,,,
,,POINT (16.52625195246116 48.21459286556632),,,"98A, 99A, 99B, N26",,,,
,,POINT (16.531587928438764 48.216041355656586),,,"98A, 99A, 99B",,,,
,,POINT (16.475659011637642 48.22334935502559),,,"22A, 26A, 550, 552, 84A, 93A, 97A, 98A",,,,
,,POINT (16.34481997810611 48.17005699067762),,,"15A, 63A, 7A, N62",,,,
,,POINT (16.29214307879693 48.20144037353672),,,51A,,,,
,,POINT (16.299509233391422 48.194716201500825),,,"51A, 52, 60",,,,
,,POINT (16.35079378777381 48.19808135283824),,,14A,,,,
,,POINT (16.260441757638016 48.21854351153396),,,52B,,,,
,,POINT (16.46929005231959 48.23025532639177),,,95B,,,,
,,POINT (16.298512058248022 48.13713767638686),,,"61A, 64A",,,,
,,POINT (16.4899871466155 48.22663493059295),,,"84A, 97A, N84",,,,
,,POINT (16.288136677595787 48.25831870485938),,,43A,,,,
,,POINT (16.41544535769425 48.26016061711493),,,"28A, 29A, 29B, N30",,,,
,,POINT (16.44881748040152 48.17796448835679),,,"76A, 76B",,,,
,,POINT (16.4256679845427 48.17118923451932),,,"69A, 72A",,,,
,,POINT (16.34044525621262 48.210743898977334),,,"2, 33, 5",,,,
,,POINT (16.331731713121346 48.221595852745814),,,"42E, 9",,,,
,,POINT (16.31650516960996 48.137071765528496),,,"61A, 64A, N64",,,,
,,POINT (16.229894402076926 48.13798905275597),,,"250, 253",,,,
,,POINT (16.330617840508292 48.23712457905587),,,40A,,,,
,,POINT (16.45406367133622 48.2623912826776),,,"25A, N25",,,,
,,POINT (16.295062565998737 48.20276956536248),,,51A,,,,
,,POINT (16.37078120651184 48.21007338372306),,,"1A, 2A, 3A",,,,
,,POINT (16.29614959479572 48.22705394903833),,,44A,,,,
,,POINT (16.328344981731902 48.18695492026856),,,57A,,,,
,,POINT (16.419020516873296 48.1715726374739),,,"11, 71",,,,
,,POINT (16.385414704749046 48.18830237824356),,,"18, O",,,,
,,POINT (16.362759400110498 48.249149401695945),,,"D, E4, N36",,,,
,,POINT (16.306722697115422 48.19378800079662),,,"52, 60",,,,
,,POINT (16.295251228374457 48.176490990808695),,,"56A, 56B, 8A",,,,
,,POINT (16.326063367485304 48.23997856885668),,,40A,,,,
,,POINT (16.431938292997668 48.271988750328816),,,"28A, 29B",,,,
,,POINT (16.355527844952483 48.184074117177076),,,"12A, 14A, N62",,,,
,,POINT (16.362570602995103 48.17896483691216),,,14A,,,,
,,POINT (16.314847945003596 48.25581270718706),,,415,,,,
,,POINT (16.360091420110155 48.254131979418496),,,38A,,,,
,,POINT (16.34197250610075 48.25243329954449),,,"38, N38",,,,
,,POINT (16.480159567541293 48.20693043090044),,,93A,,,,
,,POINT (16.269864991937663 48.20411067508442),,,47A,,,,
,,POINT (16.29181070062357 48.21562850624346),,,45A,,,,
,,POINT (16.264816487910057 48.18430767281141),,,"54A, 54B",,,,
,,POINT (16.322721614154673 48.19030270740841),,,"18, 49, 5, 52, 60, N54",,,,
,,POINT (16.322559914718944 48.19014100869815),,,57A,,,,
,,POINT (16.387337208167693 48.26951928983017),,,34A,,,,
,,POINT (16.39005466491102 48.296359740635594),,,"32A, 510, 850",,,,
,,POINT (16.27043080288396 48.142616768369045),,,60,,,,
,,POINT (16.441280719672964 48.25185904010417),,,"25A, N25",,,,
,,POINT (16.36788876713196 48.243705724872896),,,5B,,,,
,,POINT (16.382710864425526 48.22215841804286),,,"1, 2, 5B, 71, N29, U2Z",,,,
,,POINT (16.427922906727844 48.26730687481043),,,31A,,,,
,,POINT (16.365463238413053 48.21396436780672),,,1A,,,,
,,POINT (16.45600395833022 48.18750583797897),,,79B,,,,
,,POINT (16.380491997414655 48.237375846723566),,,5A,,,,
,,POINT (16.331237571540104 48.189973303661915),,,12A,,,,
,,POINT (16.331992168730203 48.19023680223355),,,12A,,,,
,,POINT (16.40526749538779 48.25175736332458),,,33A,,,,
,,POINT (16.329476815838696 48.14415722391124),,,65A,,,,
,,POINT (16.49287076698845 48.251213011917855),,,"24A, N24",,,,
,,POINT (16.295709203551496 48.08832821120526),,,2,,,,
,,POINT (16.285549354238345 48.0891323134861),,,2,,,,
,,POINT (16.29810304713312 48.081619155412014),,,219,,,,
,,POINT (16.29892053310692 48.077069875805066),,,219,,,,
,,POINT (16.11537831514601 48.389576164314725),,,842,,,,
,,POINT (16.543872176617082 48.18767941011534),,,551,,,,
,,POINT (16.349450499836436 48.083149397448196),,,"215, 216, 217",,,,
,,POINT (16.14901068298536 48.22263142754927),,,"447, 448",,,,
,,POINT (16.14820220421693 48.230644590783186),,,"447, 448",,,,
,,POINT (16.310517591833037 48.03828914959645),,,301,,,,
,,POINT (16.2805548311159 48.12674153698016),,,"1, 2",,,,
,,POINT (16.12054309188141 48.163244939655925),,,"250, 253, 453, 458",,,,
,,POINT (16.28935406637407 48.3456104042496),,,403,,,,
,,POINT (16.304526542921113 48.32315039590209),,,"403, 413, SV810",,,,
,,POINT (16.157481916067645 48.30199524097608),,,445,,,,
,,POINT (16.1540144377349 48.30421223385247),,,"404, 411, 441, 445",,,,
,,POINT (16.140818292943674 48.2995093694184),,,"404, 411, 441, 444, 445, 449",,,,
,,POINT (16.145803871219755 48.30089575728467),,,"404, 411, 441, 444, 445, 449",,,,
,,POINT (16.151454249279105 48.30346523979064),,,"106, 404, 411, 441, 445",,,,
,,POINT (16.153277523016598 48.15932012599298),,,253,,,,
,,POINT (16.182077366121923 48.15190113344325),,,253,,,,
,,POINT (16.17357041628394 48.15583842292378),,,253,,,,
,,POINT (16.18119707595215 48.15432822214641),,,253,,,,
,,POINT (16.17738819589607 48.155263121460365),,,253,,,,
,,POINT (16.60840723327181 48.359829827403296),,,"520, 530, 531",,,,
,,POINT (16.42923017720245 48.38982645681316),,,501,,,,
,,POINT (16.304535030400725 48.088484216253946),,,"2, 214, 269, 270",,,,
,,POINT (16.329921159189066 48.06672759500242),,,"209, 219, 301, 309",,,,
,,POINT (16.330828456343458 48.067874188456805),,,"209, 219",,,,
,,POINT (16.29988174887582 48.08656402983951),,,"214, 215, 216, 217, 219, 269, 270, 303, 329",,,,
,,POINT (16.29588429502809 48.09881617499444),,,206,,,,
,,POINT (16.303960026464054 48.08547783055742),,,"2, 214, 219",,,,
,,POINT (16.290656092701845 48.08637203930216),,,"207, 214, 216, 217, 259, 261, 262, 263, 264, 265, 268, 269, 270",,,,
,,POINT (16.29085832508157 48.08694202068867),,,2,,,,
,,POINT (16.29582134945983 48.07758007655961),,,"259, 303",,,,
,,POINT (16.29565530611422 48.090014303307036),,,2,,,,
,,POINT (16.284017526861312 48.08682204355511),,,"2, 207, 259, 261, 262, 268, 269",,,,
,,POINT (16.273713966923168 48.082171275890325),,,"264, 265",,,,
,,POINT (16.304373317186776 48.08221324574556),,,"2, 214",,,,
,,POINT (16.283231640363738 48.07162589858166),,,1,,,,
,,POINT (16.28139014870133 48.07109770246924),,,1,,,,
,,POINT (16.28072973607806 48.083791561939265),,,"264, 265",,,,
,,POINT (16.287202235390954 48.08164914803532),,,1,,,,
,,POINT (16.287678342320348 48.087980217981844),,,2,,,,
,,POINT (16.300173873119792 48.0818711388175),,,3,,,,
,,POINT (16.301139206027536 48.02383562774091),,,301,,,,
,,POINT (16.20732045389179 48.38484539705044),,,"825, 828, 829, 840, 841",,,,
,,POINT (16.20659726815401 48.39387690895702),,,1,,,,
,,POINT (16.20286480376552 48.3972231422786),,,827,,,,
,,POINT (16.213941023860254 48.385710386437495),,,"826, 828, 829, 830, 831",,,,
,,POINT (16.185114165198563 48.38572831384729),,,825,,,,
,,POINT (16.231287340697484 48.386569465277184),,,830,,,,
,,POINT (16.622672271419773 48.31772021434366),,,523,,,,
,,POINT (16.20575712295991 48.27641321608873),,,"405, 415, 445",,,,
,,POINT (16.358766568987242 48.36560754064521),,,"857, 858",,,,
,,POINT (16.617003883119164 48.30988795696453),,,523,,,,
,,POINT (16.639264087838395 48.316555303795596),,,"521, 523, 524, 532",,,,
,,POINT (16.63545521446723 48.320241090308336),,,523,,,,
,,POINT (16.617668685176174 48.31266614307017),,,523,,,,
,,POINT (16.63257162921373 48.32056959117821),,,523,,,,
,,POINT (16.64005459446721 48.32154327916742),,,523,,,,
,,POINT (16.28836539651025 48.082795358528294),,,"207, 216, 259, 261, 262, 263, 264, 265, 268, 269, 270",,,,
,,POINT (16.285203311010097 48.08223726508977),,,"207, 216, 259, 263, 264, 265, 268, 270",,,,
,,POINT (16.12103707865556 48.11306877820188),,,251,,,,
,,POINT (16.130244733103563 48.11282287098308),,,251,,,,
,,POINT (16.137745672321305 48.101473917313804),,,255,,,,
,,POINT (16.299742685734046 48.089936301206826),,,2,,,,
,,POINT (16.30037147318895 48.08273533509906),,,3,,,,
,,POINT (16.249504492299067 48.08536988429619),,,"109, 265",,,,
,,POINT (16.44435709592205 48.11090327266632),,,217,,,,
,,POINT (16.46772272739661 48.36181155372845),,,501,,,,
,,POINT (16.633092608730422 48.26588945143836),,,"551, 554",,,,
,,POINT (16.63661398655496 48.263335960603825),,,551,,,,
,,POINT (16.165854064501872 48.251643972767695),,,449,,,,
,,POINT (16.55252295791184 48.19880564886957),,,"551, 552, 553",,,,
,,POINT (16.32404630748861 48.07583945732458),,,"209, 309",,,,
,,POINT (16.579489826615454 48.01309180789016),,,"227, 248",,,,
,,POINT (16.450973517470434 48.284447679315505),,,32A,,,,
,,POINT (16.34396663839038 48.21080379655636),,,"2, 33, 5",,,,
,,POINT (16.335351849659055 48.18898510561596),,,"57A, N8",,,,
,,POINT (16.38925946516504 48.17379524497486),,,"11, 6, N6",,,,
,,POINT (16.448943427951313 48.284459580655906),,,32A,,,,
,,POINT (16.38601655252622 48.152775947535666),,,19A,,,,
,,POINT (16.535441609313338 48.21554455523395),,,98A,,,,
,,POINT (16.33892706853688 48.14277252459115),,,67A,,,,
,,POINT (16.45430629101804 48.27742941068578),,,"29A, 29B, N25",,,,
,,POINT (16.385693148308185 48.14890426572047),,,19A,,,,
,,POINT (16.451755060865487 48.24673865840962),,,"22A, 26E, N23, N24",,,,
,,POINT (16.50634540028007 48.25104550434666),,,"24A, N24",,,,
,,POINT (16.304822293936528 48.026377011999585),,,301,,,,
,,POINT (16.29980072112303 48.0277107107893),,,"329, SEV 303, WLB",,,,
,,POINT (16.45861311474294 48.01297172643961),,,226,,,,
,,POINT (16.323188927130865 48.345061069256694),,,2,,,,
,,POINT (16.46792919110936 48.2995867501954),,,510,,,,
,,POINT (16.31349113229677 48.06382202495923),,,"303, WLB",,,,
,,POINT (16.32163879076484 48.06277742216303),,,"263, 301",,,,
,,POINT (16.315395524825206 48.06442832005208),,,"263, 301",,,,
,,POINT (16.323327575067374 48.05956543530085),,,"263, 301",,,,
,,POINT (16.49434795102303 48.01772486882031),,,"222, 226, AST",,,,
,,POINT (16.570695758528565 48.1935302560518),,,"550, 553",,,,
,,POINT (16.14174335689256 48.19466246886736),,,"452, 453, 457, 458",,,,
,,POINT (16.152073915840127 48.198686339275824),,,"452, 453, 457, 458",,,,
,,POINT (16.146522339216396 48.19718335185144),,,"452, 453, 457, 458",,,,
,,POINT (16.628053148728778 48.319333101536),,,523,,,,
,,POINT (16.620956465927893 48.31086184898684),,,523,,,,
,,POINT (16.634350307447104 48.314709317714865),,,523,,,,
,,POINT (16.6456600596359 48.31771419284259),,,"521, 523, 524, 532",,,,
,,POINT (16.633128615379672 48.31564721442175),,,"521, 524, 532",,,,
,,POINT (16.60889222560272 48.31157885690023),,,"523, 524",,,,
,,POINT (16.620183974442348 48.31349063706919),,,"521, 524, 532",,,,
,,POINT (16.141841968535587 48.10911017707693),,,"249, 255",,,,
,,POINT (16.21704888304949 48.283138672538264),,,405,,,,
,,POINT (16.30313348408973 48.018163752654544),,,"301, SV720",,,,
,,POINT (16.28682917016111 48.02134225370365),,,"301, 302, 303",,,,
,,POINT (16.284080291493225 48.02479094008754),,,"301, 302, 303",,,,
,,POINT (16.29545292172869 48.0185903580562),,,"301, 303",,,,
,,POINT (16.295578709060855 48.01303798455405),,,"301, 302, 329",,,,
,,POINT (16.28854485405285 48.0176529698855),,,"301, 302, 303",,,,
,,POINT (16.218935609281658 48.390035460858236),,,826,,,,
,,POINT (16.47772049825334 48.14095009715646),,,"171, 217, 218, 266, 272, 279, 71A",,,,
,,POINT (16.478308978148693 48.13565687168375),,,171,,,,
,,POINT (16.206215215433243 48.27378852787347),,,"401, 415",,,,
,,POINT (16.321100427772826 48.353365435590085),,,"1, 830, 831, 832, 850, 853, 857",,,,
,,POINT (16.26535116231898 48.335680474347804),,,402,,,,
,,POINT (16.26100338606677 48.33705997214822),,,402,,,,
,,POINT (16.282481487173282 48.11101742967184),,,212,,,,
,,POINT (16.221957752528446 48.00986503193773),,,C,,,,
,,POINT (16.293423376478522 48.313771751544856),,,402,,,,
,,POINT (16.626382342385234 48.31223603670425),,,523,,,,
,,POINT (16.627262633421537 48.310240545349686),,,523,,,,
,,POINT (16.33853662500121 48.34601635370422),,,853,,,,
,,POINT (16.248417499931996 48.08667207929632),,,"264, 265",,,,
,,POINT (16.247168803865588 48.08559198590232),,,"260, 264, 265",,,,
,,POINT (16.225856954932407 48.38078235935731),,,1,,,,
,,POINT (16.234364012999105 48.380639154566865),,,1,,,,
,,POINT (16.231157029729786 48.381408852706954),,,1,,,,
,,POINT (16.227186450659033 48.38196965276156),,,1,,,,
,,POINT (16.226782256193925 48.384910938507986),,,1,,,,
,,POINT (16.20836246002236 48.38987437185921),,,840,,,,
,,POINT (16.34188730753078 48.34493565607842),,,853,,,,
,,POINT (16.308097169166707 48.25018433131401),,,"35A, 39A, N35",,,,
,,POINT (16.374886536455623 48.246224208072775),,,5A,,,,
,,POINT (16.316568162296818 48.20364964763295),,,"10A, 12A",,,,
,,POINT (16.374432859277533 48.21301265351521),,,VAL 2,,,,
,,POINT (16.48510017945826 48.16034454994697),,,"279, 76A, 76B",,,,
,,POINT (16.49470312996766 48.158331053482286),,,"76A, 76B",,,,
,,POINT (16.47228135829308 48.17196200241866),,,"73A, 76A, 76B, 79A, 79B",,,,
,,POINT (16.484493798988087 48.156359517212294),,,"279, 76B",,,,
,,POINT (16.134763389758074 48.19380017971833),,,"452, 453, 457, 458",,,,
,,POINT (16.469959379205324 48.298917451041326),,,510,,,,
,,POINT (16.582822856953424 48.17420833723575),,,553,,,,
,,POINT (16.58382906431644 48.17998890876695),,,"550, 553",,,,
,,POINT (16.202226756358105 48.2836587849745),,,"405, 415, 445",,,,
,,POINT (16.19755558383449 48.28546998055979),,,"405, 415, 445",,,,
,,POINT (16.29603764120989 48.39519506087985),,,"831, 832",,,,
,,POINT (16.29485185190987 48.39711565254225),,,"831, 832",,,,
,,POINT (16.301167011801418 48.392952266771),,,"831, 832",,,,
,,POINT (16.224729423730416 48.272957513198584),,,"401, 415",,,,
,,POINT (16.14972972583648 48.37988747692786),,,825,,,,
,,POINT (16.20794002289017 48.28114209113795),,,"405, 415, 445",,,,
,,POINT (16.454831418267972 48.098258022637225),,,218,,,,
,,POINT (16.289685742770665 48.01503308075879),,,"301, 303, SEV 302, WLB",,,,
,,POINT (16.297195601298935 48.01286368441307),,,301,,,,
,,POINT (16.19740288963712 48.28778326957388),,,"405, 415, 445",,,,
,,POINT (16.357571909239354 48.38109256847338),,,"832, 858",,,,
,,POINT (16.34897505214555 48.38179657318031),,,832,,,,
,,POINT (16.354912920205923 48.380477973566535),,,832,,,,
,,POINT (16.273111925171452 48.01586229370407),,,"301, 302, 303",,,,
,,POINT (16.12788258518238 48.26744463517468),,,449,,,,
,,POINT (16.228587837760585 48.378544967660964),,,1,,,,
,,POINT (16.318418790553388 48.30183377810254),,,3,,,,
,,POINT (16.320161581007973 48.30116448020979),,,3,,,,
,,POINT (16.307495372601238 48.32264858580351),,,1,,,,
,,POINT (16.318796103706468 48.312899425351866),,,1,,,,
,,POINT (16.318221208630373 48.314446718423405),,,1,,,,
,,POINT (16.316945616258277 48.315223415272676),,,1,,,,
,,POINT (16.31004655671466 48.3200740966064),,,1,,,,
,,POINT (16.309022563839793 48.32150769018539),,,1,,,,
,,POINT (16.316325818932235 48.31437511966605),,,1,,,,
,,POINT (16.317731655809894 48.313144430983215),,,"1, 403",,,,
,,POINT (16.315750814885483 48.30978674159359),,,1,,,,
,,POINT (16.317394805923637 48.30915934415385),,,1,,,,
,,POINT (16.31967649322248 48.308603744905675),,,1,,,,
,,POINT (16.11814507756145 48.37829451505493),,,"800, 842",,,,
,,POINT (16.329715050848204 48.292002920562005),,,"2, 401",,,,
,,POINT (16.58881485736322 48.280370525444226),,,"522, 554",,,,
,,POINT (16.58012824840204 48.303201924708475),,,522,,,,
,,POINT (16.247317132580505 48.011776007482986),,,C,,,,
,,POINT (16.64042273305645 48.247097334114365),,,"551, 554",,,,
,,POINT (16.36799651397519 48.20545170680023),,,2A,,,,
,,POINT (16.369433805939792 48.204757209160384),,,2A,,,,
,,POINT (16.42119451931627 48.25318094608777),,,"25, 26, N20",,,,
,,POINT (16.531435174468488 48.24889809881763),,,89A,,,,
,,POINT (16.386393969965233 48.238668236910065),,,"11A, 11B, 5A, N8",,,,
,,POINT (16.430321420645285 48.28642628197773),,,32A,,,,
,,POINT (16.241231295993042 48.205858917709485),,,"450, 49A",,,,
,,POINT (16.32413196493079 48.231679609212996),,,40,,,,
,,POINT (16.324068993152693 48.18037845396906),,,9A,,,,
,,POINT (16.513779119695357 48.370142969358795),,,516,,,,
,,POINT (16.355150703937685 48.225617618716015),,,"33, 37, 38, 40A, 5, N38",,,,
,,POINT (16.277459949895828 48.128582351128905),,,"1, 256, 257, 258",,,,
,,POINT (16.266743091724877 48.12401328292134),,,"256, 257, 258",,,,
,,POINT (16.264928501562917 48.12457098255664),,,"2, 206, 257, 259",,,,
,,POINT (16.260535793643328 48.11120335020592),,,"256, 258",,,,
,,POINT (16.269896178211965 48.12472687714845),,,"256, 257, 258",,,,
,,POINT (16.26773130503014 48.13252144177155),,,"1, 257",,,,
,,POINT (16.215476885631638 48.281034483872304),,,405,,,,
,,POINT (16.280738823022674 48.123791370999044),,,257,,,,
,,POINT (16.289533282291792 48.12477475742703),,,257,,,,
,,POINT (16.26232342106242 48.12752707048887),,,"2, 206, 257, 259",,,,
,,POINT (16.256897623504013 48.11625932976225),,,257,,,,
,,POINT (16.258011536676246 48.124768788339864),,,"1, 206, 255, 257, 259",,,,
,,POINT (16.28039741231209 48.1181004982853),,,260,,,,
,,POINT (16.279544022298523 48.12087108560464),,,"1, 257, 260",,,,
,,POINT (16.27314804706204 48.11809450514925),,,"1, 257",,,,
,,POINT (16.27754084161326 48.12541636575236),,,257,,,,
,,POINT (16.116626783705517 48.287341050751834),,,"411, 441, 449",,,,
,,POINT (16.1209386767058 48.293622816200106),,,"404, 411, 441, 449",,,,
,,POINT (16.122124462073693 48.28942113581411),,,"411, 441, 449",,,,
,,POINT (16.15876644059309 48.27055989002424),,,449,,,,
,,POINT (16.151912381895123 48.27424897862707),,,449,,,,
,,POINT (16.14593862221474 48.27927696075678),,,449,,,,
,,POINT (16.104813716418896 48.184996650917135),,,"250, 253, 408, 452, 454, 457, 458",,,,
,,POINT (16.19504030857888 48.29099295669336),,,"405, 415",,,,
,,POINT (16.1967291038359 48.29265454721686),,,"405, 415",,,,
,,POINT (16.186003230565056 48.235599030140364),,,"450, 458",,,,
,,POINT (16.294348800483682 48.37281656936457),,,830,,,,
,,POINT (16.291132829960652 48.37904014256501),,,"830, 832",,,,
,,POINT (16.278933803348593 48.38511972523696),,,"830, 832",,,,
,,POINT (16.56388643235294 48.119899314338355),,,"221, 222, 273, VAL 1, VAL 2, VAL 3, X96",,,,
,,POINT (16.613823481299285 48.116252983340104),,,222,,,,
,,POINT (16.61472176623635 48.11134100586127),,,222,,,,
,,POINT (16.608990541326236 48.087037827228265),,,222,,,,
,,POINT (16.607077145707446 48.08428934217153),,,"222, 272",,,,
,,POINT (16.445884910873453 48.397115506034055),,,501,,,,
,,POINT (16.511389663481328 48.38508970037133),,,514,,,,
,,POINT (16.256080610594072 48.33693447764282),,,402,,,,
,,POINT (16.51686933929124 48.38667058736108),,,"500, 505, 515",,,,
,,POINT (16.125978037722525 48.24147446052149),,,451,,,,
,,POINT (16.35185804534916 48.109757768021915),,,"200, 210, 268",,,,
,,POINT (16.138464351286817 48.138960238237004),,,"250, 251, 252",,,,
,,POINT (16.34067896549576 48.2900006206171),,,1,,,,
,,POINT (16.274513565815244 48.1295656488631),,,"1, 2, 257",,,,
,,POINT (16.279378036736947 48.127149236264856),,,"1, 2",,,,
,,POINT (16.343567186700607 48.33947828012507),,,"850, 853",,,,
,,POINT (16.334130321267015 48.30748044179578),,,3,,,,
,,POINT (16.31951933367487 48.307104057993044),,,"400, 401, 404, 406",,,,
,,POINT (16.329980200993127 48.34959244314115),,,1,,,,
,,POINT (16.322407424164414 48.340141092975315),,,2,,,,
,,POINT (16.331776797342233 48.3532161251199),,,1,,,,
,,POINT (16.335347632406613 48.34193837700501),,,"2, 850, 853, 857",,,,
,,POINT (16.255352465632946 48.08642007366008),,,"260, 264, 265",,,,
,,POINT (16.1661141618952 48.02322896317951),,,306,,,,
,,POINT (16.29790600347336 48.33634924016243),,,"403, 413, S40, SV810",,,,
,,POINT (16.29430373060538 48.34029032444141),,,403,,,,
,,POINT (16.32728519473122 48.336259708825565),,,2,,,,
,,POINT (16.29977448391451 48.331362761329956),,,403,,,,
,,POINT (16.30304435613096 48.32633398220758),,,403,,,,
,,POINT (16.28465540260646 48.12291587116383),,,"1, 2, 257, 260, S1, S2, S3, S4, SV510",,,,
,,POINT (16.272977339272366 48.113608426989195),,,"206, 259",,,,
,,POINT (16.262646792499066 48.1149999300924),,,"256, 258",,,,
,,POINT (16.254651832934474 48.115995433854984),,,257,,,,
,,POINT (16.2887606828729 48.123473564355365),,,"257, 260",,,,
,,POINT (16.265269889132245 48.11953980591925),,,"2, 206, 212, 255, 256, 257, 258, 259",,,,
,,POINT (16.29229106617927 48.12383935925048),,,260,,,,
,,POINT (16.283276617555234 48.12698733447966),,,"1, 2",,,,
,,POINT (16.271549083906578 48.13100464566978),,,"1, 257",,,,
,,POINT (16.27047105768418 48.11675711477193),,,"1, 2, 206, 256, 257, 258, 259",,,,
,,POINT (16.25687964902498 48.128372472042024),,,"1, 206, 255, 257, 259",,,,
,,POINT (16.275259156550938 48.12698736072741),,,"256, 257, 258",,,,
,,POINT (16.268225379995087 48.121584693277256),,,"2, 206, 256, 257, 258, 259",,,,
,,POINT (16.25744562641714 48.11910201604732),,,"206, 257",,,,
,,POINT (16.240179973202792 48.101911815029105),,,"256, 258",,,,
,,POINT (16.12666062073526 48.18989560662214),,,"408, 452, 453, 457, 458, S50",,,,
,,POINT (16.121630131285098 48.18393054007872),,,"408, 452, 457, 458",,,,
,,POINT (16.193773605218528 48.24112139618958),,,"450, 458",,,,
,,POINT (16.124585515347697 48.18303814106432),,,"453, 458",,,,
,,POINT (16.17607719991425 48.381235944133515),,,825,,,,
,,POINT (16.451166222397394 48.04562227755829),,,"221, 226, 246",,,,
,,POINT (16.44686323800584 48.0433400923919),,,"221, 226, 246",,,,
,,POINT (16.444913940865707 48.04036710846968),,,"221, 226, 246",,,,
,,POINT (16.26005963379584 48.08238138895281),,,"264, 265",,,,
,,POINT (16.266608298745552 48.08113308783145),,,"264, 265",,,,
,,POINT (16.315871737642734 48.11762066611187),,,268,,,,
,,POINT (16.31320374244538 48.11356038826449),,,207,,,,
,,POINT (16.10560421960727 48.188422433637705),,,"250, 253, 408, 454, 457, 458",,,,
,,POINT (16.492165343935305 48.14837074811244),,,279,,,,
,,POINT (16.287970087340042 48.077892182832265),,,"1, 207, 216, 259, 263, 264, 265, 268, 270",,,,
,,POINT (16.308289803207977 48.0383791517627),,,301,,,,
,,POINT (16.306583010379686 48.03821705411089),,,301,,,,
,,POINT (16.293386975224116 48.08407964765967),,,259,,,,
,,POINT (16.464537938774512 48.202847359888445),,,"93A, N91",,,,
,,POINT (16.37645861828525 48.238973342122506),,,"2, 30, 31, 33, 37A, N29, N31",,,,
,,POINT (16.2604686267483 48.196003619114066),,,53A,,,,
,,POINT (16.368751057156544 48.23915884579565),,,"37A, N8",,,,
,,POINT (16.37905031242942 48.29357476462662),,,850,,,,
,,POINT (16.33140820708281 48.14372562467454),,,65A,,,,
,,POINT (16.438172644901762 48.25925760743108),,,"27A, 31A",,,,
,,POINT (16.298251627894736 48.18615234246838),,,"10, 49, 52, 60, N54, N60",,,,
,,POINT (16.387660577381517 48.248455489618465),,,"30, 31, 33",,,,
,,POINT (16.31060810291435 48.31865841149056),,,"1, 403",,,,
,,POINT (16.29539064889372 48.305550489010734),,,"400, 404, 406",,,,
