FID,SHAPE,NAME,ADRESSE,SE_SDO_ROWID,SE_ANNO_CAD_DATA,WEBLINK1
POLIZEIOGD.3934311,POINT (16.364212908192417 48.20775767476472),Polizeiinspektion Wien-Hofburg (Leopoldinischer Trakt),"01., Hofburg ",3934311,,https://www.polizei.gv.at/
POLIZEIOGD.3934312,POINT (16.378191333138023 48.210522892610925),Polizeiinspektion Wien-Laurenzerberg,"01., Laurenzerberg 2",3934312,,https://www.polizei.gv.at/
POLIZEIOGD.3934313,POINT (16.372034772960802 48.209650660751635),Polizeiinspektion Wien-Brandstätte,"01., Brandstätte 4",3934313,,https://www.polizei.gv.at/
POLIZEIOGD.3934314,POINT (16.40950269775479 48.2229014845413),Polizeiinspektion Wien-Handelskai-Wasserpolizei,"02., Handelskai 267",3934314,,https://www.polizei.gv.at/
POLIZEIOGD.3934315,POINT (16.37642180516155 48.21960987036647),Polizeiinspektion Wien-Leopoldsgasse,"02., Leopoldsgasse 18",3934315,,https://www.polizei.gv.at/
POLIZEIOGD.3934316,POINT (16.40534851067721 48.217626222313),Polizeiinspektion Wien-Ausstellungsstraße,"02., Ausstellungsstraße 44",3934316,,https://www.polizei.gv.at/
POLIZEIOGD.3934317,POINT (16.385145964366153 48.21356741439046),Polizeiinspektion Wien-Tempelgasse,"02., Tempelgasse 5a",3934317,,https://www.polizei.gv.at/
POLIZEIOGD.3934318,POINT (16.391362280496345 48.21882581539064),Polizeiinspektion Wien-Praterstern,"02., Praterstern ",3934318,,https://www.polizei.gv.at/
POLIZEIOGD.3934320,POINT (16.404314705790867 48.196271644816186),Polizeiinspektion Wien-Fiakerplatz,"03., Fiakerplatz 4",3934320,,https://www.polizei.gv.at/
POLIZEIOGD.3935100,POINT (16.38617592047523 48.207009974863574),Polizeiinspektion Wien-Wien Mitte,"03., Invalidenstraße 2",3935100,,https://www.polizei.gv.at/
POLIZEIOGD.3935101,POINT (16.393663588577827 48.19656619967786),Polizeiinspektion Wien-Juchgasse,"03., Juchgasse 19",3935101,,https://www.polizei.gv.at/
POLIZEIOGD.3935102,POINT (16.3711556061268 48.194974671117386),Polizeiinspektion Wien-Taubstummengasse,"04., Taubstummengasse 11",3935102,,https://www.polizei.gv.at/
POLIZEIOGD.3935104,POINT (16.357710762101828 48.188138782459255),Polizeiinspektion Wien-Viktor-Christ-Gasse,"05., Viktor-Christ-Gasse 19",3935104,,https://www.polizei.gv.at/
POLIZEIOGD.3935118,POINT (16.36984636031175 48.179027688489285),Polizeiinspektion Wien-Van-der-Nüll-Gasse,"10., Van-der-Nüll-Gasse 11",3935118,,https://www.polizei.gv.at/
POLIZEIOGD.3935119,POINT (16.38286386735952 48.150500926156546),Polizeiinspektion Wien-Ada-Christen-Gasse,"10., Ada-Christen-Gasse 2",3935119,,https://www.polizei.gv.at/
POLIZEIOGD.3935120,POINT (16.382763626842014 48.16378966311612),Polizeiinspektion Wien-Favoritenstraße,"10., Favoritenstraße 211",3935120,,https://www.polizei.gv.at/
POLIZEIOGD.3935121,POINT (16.363251560602194 48.16980161675518),Polizeiinspektion Wien-Zohmanngasse,"10., Zohmanngasse 10",3935121,,https://www.polizei.gv.at/
POLIZEIOGD.3935122,POINT (16.37700348629796 48.17942604213808),Polizeiinspektion Wien-Keplergasse,"10., Keplergasse 10",3935122,,https://www.polizei.gv.at/
