FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.9312836,9312836,POINT (16.41798756261768 48.27226375781189),Ruthnergasse,Ruthnergasse,"31A, 30A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Ruthnergasse&start=1,
OEFFHALTESTOGD.9312837,9312837,POINT (16.418050461126693 48.27233545704997),Ruthnergasse,Ruthnergasse,31A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Ruthnergasse&start=1,
OEFFHALTESTOGD.9312838,9312838,POINT (16.28448944760268 48.15259021185466),Ruzickagasse,Ruzickagasse,"56A, 58B",,2,https://anachb.vor.at?P=SQ&input=Wien%20Ruzickagasse&start=1,
OEFFHALTESTOGD.9312839,9312839,POINT (16.28432774799639 48.152512312384836),Ruzickagasse,Ruzickagasse,56A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Ruzickagasse&start=1,
OEFFHALTESTOGD.9312840,9312840,POINT (16.383285852848875 48.28768750568069),Rußbergstraße,Rußbergstraße,N20,,11,https://anachb.vor.at?P=SQ&input=Wien%20Rußbergstraße&start=1,
OEFFHALTESTOGD.9312841,9312841,POINT (16.383285852848875 48.28768750568069),Rußbergstraße,Rußbergstraße,N20,,10,https://anachb.vor.at?P=SQ&input=Wien%20Rußbergstraße&start=1,
OEFFHALTESTOGD.9312842,9312842,POINT (16.383564352124353 48.28768150499944),Rußbergstraße,Rußbergstraße,"26, SV903",,1,https://anachb.vor.at?P=SQ&input=Wien%20Rußbergstraße&start=1,
OEFFHALTESTOGD.9312843,9312843,POINT (16.38370805155273 48.28771140499318),Rußbergstraße,Rußbergstraße,32A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Rußbergstraße&start=1,
OEFFHALTESTOGD.9312844,9312844,POINT (16.382966980036038 48.28757988955156),Rußbergstraße,Rußbergstraße,850,,3,https://anachb.vor.at?P=SQ&input=Wien%20Rußbergstraße&start=1,
OEFFHALTESTOGD.9312845,9312845,POINT (16.383492451958336 48.28755600605898),Rußbergstraße,Rußbergstraße,N20,,11,https://anachb.vor.at?P=SQ&input=Wien%20Rußbergstraße&start=1,
OEFFHALTESTOGD.9312846,9312846,POINT (16.383492451958336 48.28755600605898),Rußbergstraße,Rußbergstraße,N20,,10,https://anachb.vor.at?P=SQ&input=Wien%20Rußbergstraße&start=1,
OEFFHALTESTOGD.9312847,9312847,POINT (16.383411652155345 48.28774130523785),Rußbergstraße,Rußbergstraße,"26, SV903",,1,https://anachb.vor.at?P=SQ&input=Wien%20Rußbergstraße&start=1,
OEFFHALTESTOGD.9312848,9312848,POINT (16.464214621866272 48.262008577791825),Obachgasse,Obachgasse,28A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Obachgasse&start=1,
OEFFHALTESTOGD.9310723,9310723,POINT (16.42931035041559 48.10202563013237),Lanzendorf Schulen,Lanzendorf Schulen,217,,3,https://anachb.vor.at?P=SQ&input=Lanzendorf%20bei%20Wien%20Schulen&start=1,
OEFFHALTESTOGD.9310724,9310724,POINT (16.42987634826952 48.102091528641196),Lanzendorf Schulen,Lanzendorf Schulen,217,,3,https://anachb.vor.at?P=SQ&input=Lanzendorf%20bei%20Wien%20Schulen&start=1,
OEFFHALTESTOGD.9310725,9310725,POINT (16.327944982462576 48.073300565327635),IZ NÖ-Süd Straße 3/REWE,IZ NÖ-Süd Straße 3/REWE,"B99, 219, 301",,3,https://anachb.vor.at?P=SQ&input=IZ%20NÖ-Süd%20Straße%203/REWE&start=1,
OEFFHALTESTOGD.9310726,9310726,POINT (16.631287021526397 48.26749794560324),Markgrafneusiedl Gemeindeamt,Markgrafneusiedl Gemeindeamt,"554, 551, 540",,3,https://anachb.vor.at?P=SQ&input=Markgrafneusiedl%20Gemeindeamt&start=1,
OEFFHALTESTOGD.9310727,9310727,POINT (16.631421721201068 48.26756974501493),Markgrafneusiedl Gemeindeamt,Markgrafneusiedl Gemeindeamt,"554, 551, 540",,3,https://anachb.vor.at?P=SQ&input=Markgrafneusiedl%20Gemeindeamt&start=1,
OEFFHALTESTOGD.9310728,9310728,POINT (16.634610699471736 48.265052253572705),Markgrafneusiedl Altes Dorf 29/68,Markgrafneusiedl Altes Dorf 29/68,"551, 540",,3,https://anachb.vor.at?P=SQ&input=Markgrafneusiedl%20Altes%20Dorf%2029/68&start=1,
OEFFHALTESTOGD.9310729,9310729,POINT (16.634413100125627 48.26495055444929),Markgrafneusiedl Altes Dorf 29/68,Markgrafneusiedl Altes Dorf 29/68,"551, 540",,3,https://anachb.vor.at?P=SQ&input=Markgrafneusiedl%20Altes%20Dorf%2029/68&start=1,
OEFFHALTESTOGD.9310730,9310730,POINT (16.418198299184144 48.099361952881054),Maria Lanzendorf Hauptstr./Wiener Str. (Wiener Str,Maria Lanzendorf Hauptstr./Wiener Str. (Wiener Str,"227, 226",,3,https://anachb.vor.at?P=SQ&input=Maria%20Lanzendorf%20Hauptstr./Wiener%20Str.&start=1,
OEFFHALTESTOGD.9310731,9310731,POINT (16.418458797719975 48.099241953395065),Maria Lanzendorf Hauptstr./Wiener Str. (Wiener Str,Maria Lanzendorf Hauptstr./Wiener Str. (Wiener Str,"227, 226",,3,https://anachb.vor.at?P=SQ&input=Maria%20Lanzendorf%20Hauptstr./Wiener%20Str.&start=1,
OEFFHALTESTOGD.9310732,9310732,POINT (16.418970794619465 48.099098053973826),Maria Lanzendorf Hauptstr./Wiener Str. (Hauptstr.),Maria Lanzendorf Hauptstr./Wiener Str. (Hauptstr.),"215, 217",,3,https://anachb.vor.at?P=SQ&input=Maria%20Lanzendorf%20Hauptstr./Wiener%20Str.&start=1,
OEFFHALTESTOGD.9310733,9310733,POINT (16.41918639404976 48.099038053771515),Maria Lanzendorf Hauptstr./Wiener Str. (Hauptstr.),Maria Lanzendorf Hauptstr./Wiener Str. (Hauptstr.),"215, 217",,3,https://anachb.vor.at?P=SQ&input=Maria%20Lanzendorf%20Hauptstr./Wiener%20Str.&start=1,
OEFFHALTESTOGD.9310734,9310734,POINT (16.573364099640592 48.35738257325985),Großengersdorf Gemeindeamt,Großengersdorf Gemeindeamt,"530, 531",,3,https://anachb.vor.at?P=SQ&input=Großengersdorf%20Gemeindeamt&start=1,
OEFFHALTESTOGD.9310735,9310735,POINT (16.56538704297886 48.35938217113825),Großengersdorf Weißes Kreuz,Großengersdorf Weißes Kreuz,"530, 531",,3,https://anachb.vor.at?P=SQ&input=Großengersdorf%20Weißes%20Kreuz&start=1,
OEFFHALTESTOGD.9310736,9310736,POINT (16.565432042947496 48.35947167095666),Großengersdorf Weißes Kreuz,Großengersdorf Weißes Kreuz,"530, 531",,3,https://anachb.vor.at?P=SQ&input=Großengersdorf%20Weißes%20Kreuz&start=1,
OEFFHALTESTOGD.9310737,9310737,POINT (16.614946376244326 48.116894679260405),Fischamend Bahnhof,Fischamend Bahnhof,"221, 273, 222",,3,https://anachb.vor.at?P=SQ&input=Fischamend%20Bahnhof&start=1,
OEFFHALTESTOGD.9310738,9310738,POINT (16.606026122662648 48.11795618249892),Fischamend Kirchenweg,Fischamend Kirchenweg,221,,3,https://anachb.vor.at?P=SQ&input=Fischamend%20Kirchenweg&start=1,
OEFFHALTESTOGD.9310739,9310739,POINT (16.425942346134978 48.368752560887486),Enzersfeld Kellergasse,Enzersfeld Kellergasse,501,,3,https://anachb.vor.at?P=SQ&input=Enzersfeld%20Kellergasse&start=1,
OEFFHALTESTOGD.9310740,9310740,POINT (16.610688401329472 48.118915773231876),Fischamend Fischaturm,Fischamend Fischaturm,"221, 273, 222",,3,https://anachb.vor.at?P=SQ&input=Fischamend%20Fischaturm&start=1,
OEFFHALTESTOGD.9310741,9310741,POINT (16.61067940165053 48.119017672948885),Fischamend Fischaturm,Fischamend Fischaturm,"221, 273, 222",,3,https://anachb.vor.at?P=SQ&input=Fischamend%20Fischaturm&start=1,
OEFFHALTESTOGD.9310742,9310742,POINT (16.59592069481341 48.3600148387452),Bockfließ Engersdorfer Straße,Bockfließ Engersdorfer Straße,"530, 531",,3,https://anachb.vor.at?P=SQ&input=Bockfließ%20Engersdorfer%20Straße&start=1,
OEFFHALTESTOGD.9310743,9310743,POINT (16.59612729347655 48.36020583712047),Bockfließ Engersdorfer Straße,Bockfließ Engersdorfer Straße,"530, 531",,3,https://anachb.vor.at?P=SQ&input=Bockfließ%20Engersdorfer%20Straße&start=1,
OEFFHALTESTOGD.9310744,9310744,POINT (16.606619023847614 48.11986327295552),Fischamend Kleinneusiedler Str.,Fischamend Kleinneusiedler Str.,221,,3,https://anachb.vor.at?P=SQ&input=Fischamend%20Kleinneusiedler%20Str.&start=1,
OEFFHALTESTOGD.9310745,9310745,POINT (16.606484324737785 48.11985727307503),Fischamend Kleinneusiedler Str.,Fischamend Kleinneusiedler Str.,221,,3,https://anachb.vor.at?P=SQ&input=Fischamend%20Kleinneusiedler%20Str.&start=1,
OEFFHALTESTOGD.9310746,9310746,POINT (16.6050739321977 48.12043897174999),Fischamend Wiener Straße,Fischamend Wiener Straße,"221, 273, 222",,3,https://anachb.vor.at?P=SQ&input=Fischamend%20Wiener%20Straße&start=1,
OEFFHALTESTOGD.9310747,9310747,POINT (16.605630929463274 48.1205229709834),Fischamend Wiener Straße,Fischamend Wiener Straße,"221, 273, 222",,3,https://anachb.vor.at?P=SQ&input=Fischamend%20Wiener%20Straße&start=1,
OEFFHALTESTOGD.9310748,9310748,POINT (16.37749634346243 48.34981329797412),Flandorf Landesstraße,Flandorf Landesstraße,857,,3,https://anachb.vor.at?P=SQ&input=Flandorf%20Landesstraße&start=1,
OEFFHALTESTOGD.9310749,9310749,POINT (16.377720941188187 48.34976559823018),Flandorf Landesstraße,Flandorf Landesstraße,"857, 853",,3,https://anachb.vor.at?P=SQ&input=Flandorf%20Landesstraße&start=1,
OEFFHALTESTOGD.9310750,9310750,POINT (16.64363859463474 48.190332301394925),Franzensdorf Ortsmitte,Franzensdorf Ortsmitte,552,,3,https://anachb.vor.at?P=SQ&input=Franzensdorf%20Ortsmitte&start=1,
OEFFHALTESTOGD.9310751,9310751,POINT (16.643818293304 48.190410200845115),Franzensdorf Ortsmitte,Franzensdorf Ortsmitte,552,,3,https://anachb.vor.at?P=SQ&input=Franzensdorf%20Ortsmitte&start=1,
OEFFHALTESTOGD.9310752,9310752,POINT (16.426256733156595 48.3632081867401),Enzersfeld Großebersdorfer Straße,Enzersfeld Großebersdorfer Straße,501,,3,https://anachb.vor.at?P=SQ&input=Enzersfeld%20Großebersdorfer%20Straße&start=1,
OEFFHALTESTOGD.9310753,9310753,POINT (16.426148933643365 48.36324398666177),Enzersfeld Großebersdorfer Straße,Enzersfeld Großebersdorfer Straße,501,,3,https://anachb.vor.at?P=SQ&input=Enzersfeld%20Großebersdorfer%20Straße&start=1,
OEFFHALTESTOGD.9310754,9310754,POINT (16.445309753924757 48.323801256301415),Föhrenhain Hagenbrunner Straße,Föhrenhain Hagenbrunner Straße,"502, G3, 500, 513, 505",,3,https://anachb.vor.at?P=SQ&input=Föhrenhain/Gerasdorf%20Hagenbrunner%20Straße&start=1,
OEFFHALTESTOGD.9310755,9310755,POINT (16.444061158703427 48.32303076175654),Föhrenhain Hagenbrunner Straße,Föhrenhain Hagenbrunner Straße,"502, G3, 500, 513, 505",,3,https://anachb.vor.at?P=SQ&input=Föhrenhain/Gerasdorf%20Hagenbrunner%20Straße&start=1,
OEFFHALTESTOGD.9310756,9310756,POINT (16.447214247682847 48.32540204712352),Föhrenhain Enzersfelder Straße,Föhrenhain Enzersfelder Straße,"502, 500, 513, 505",,3,https://anachb.vor.at?P=SQ&input=Föhrenhain/Gerasdorf%20Enzersfelder%20Straße&start=1,
OEFFHALTESTOGD.9310757,9310757,POINT (16.447681347318078 48.32587984396718),Föhrenhain Enzersfelder Straße,Föhrenhain Enzersfelder Straße,"502, 500, 513, 505",,3,https://anachb.vor.at?P=SQ&input=Föhrenhain/Gerasdorf%20Enzersfelder%20Straße&start=1,
OEFFHALTESTOGD.9310758,9310758,POINT (16.43871617536759 48.318622387255324),Föhrenhain Hanuschgasse,Föhrenhain Hanuschgasse,"502, 500, 513, 505",,3,https://anachb.vor.at?P=SQ&input=Föhrenhain/Gerasdorf%20Hanuschgasse&start=1,
OEFFHALTESTOGD.9311427,9311427,POINT (16.41907013080343 48.299825796592856),Karl-Lothringer-Straße,Karl-Lothringer-Straße,510,,3,https://anachb.vor.at?P=SQ&input=Wien%20Karl-Lothringer-Straße&start=1,
OEFFHALTESTOGD.9311428,9311428,POINT (16.391828688177576 48.19916512217064),Ziehrerplatz,Ziehrerplatz,4A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Ziehrerplatz&start=1,
OEFFHALTESTOGD.9311429,9311429,POINT (16.391217790939255 48.199219022650276),Ziehrerplatz,Ziehrerplatz,4A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Ziehrerplatz&start=1,
OEFFHALTESTOGD.9311430,9311430,POINT (16.41138489541997 48.20119490074256),Rustenschacherallee,Rustenschacherallee,80A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Rustenschacherallee&start=1,
OEFFHALTESTOGD.9311431,9311431,POINT (16.299158916198465 48.180929567056126),Tiroler Gasse,Tiroler Gasse,"58A, 56A, 56B, 58B",,2,https://anachb.vor.at?P=SQ&input=Wien%20Tiroler%20Gasse&start=1,
OEFFHALTESTOGD.9311432,9311432,POINT (16.299320614562284 48.18091156674642),Tiroler Gasse,Tiroler Gasse,"58A, 56A, 56B, 58B",,2,https://anachb.vor.at?P=SQ&input=Wien%20Tiroler%20Gasse&start=1,
OEFFHALTESTOGD.9311433,9311433,POINT (16.46569674339896 48.210498422812734),Binsenweg,Binsenweg,95A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Binsenweg&start=1,
OEFFHALTESTOGD.9311434,9311434,POINT (16.465840542633984 48.210462422763094),Binsenweg,Binsenweg,95A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Binsenweg&start=1,
OEFFHALTESTOGD.9311435,9311435,POINT (16.382845446703993 48.13789302012984),Rosiwalgasse,Rosiwalgasse,16A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Rosiwalgasse&start=1,
OEFFHALTESTOGD.9311436,9311436,POINT (16.382935246414448 48.13791102047477),Rosiwalgasse,Rosiwalgasse,16A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Rosiwalgasse&start=1,
OEFFHALTESTOGD.9311437,9311437,POINT (16.34334673609346 48.135369157137916),Ernst-Krenek-Gasse,Ernst-Krenek-Gasse,67B,,2,https://anachb.vor.at?P=SQ&input=Wien%20Ernst-Krenek-Gasse&start=1,
OEFFHALTESTOGD.9311438,9311438,POINT (16.34332873666837 48.13527325741496),Ernst-Krenek-Gasse,Ernst-Krenek-Gasse,67B,,2,https://anachb.vor.at?P=SQ&input=Wien%20Ernst-Krenek-Gasse&start=1,
OEFFHALTESTOGD.9311439,9311439,POINT (16.401880830728615 48.264699703781666),Bahnsteggasse,Bahnsteggasse,N31,,11,https://anachb.vor.at?P=SQ&input=Wien%20Bahnsteggasse&start=1,
OEFFHALTESTOGD.9311440,9311440,POINT (16.401880830728615 48.264699703781666),Bahnsteggasse,Bahnsteggasse,N31,,10,https://anachb.vor.at?P=SQ&input=Wien%20Bahnsteggasse&start=1,
OEFFHALTESTOGD.9311441,9311441,POINT (16.401835931217256 48.264914902611295),Bahnsteggasse,Bahnsteggasse,"30, 31",,1,https://anachb.vor.at?P=SQ&input=Wien%20Bahnsteggasse&start=1,
OEFFHALTESTOGD.9311442,9311442,POINT (16.40209643003635 48.265052501322565),Bahnsteggasse,Bahnsteggasse,N31,,11,https://anachb.vor.at?P=SQ&input=Wien%20Bahnsteggasse&start=1,
OEFFHALTESTOGD.9311443,9311443,POINT (16.40209643003635 48.265052501322565),Bahnsteggasse,Bahnsteggasse,N31,,10,https://anachb.vor.at?P=SQ&input=Wien%20Bahnsteggasse&start=1,
OEFFHALTESTOGD.9311444,9311444,POINT (16.40171913185816 48.26494480214314),Bahnsteggasse,Bahnsteggasse,"30, 31",,1,https://anachb.vor.at?P=SQ&input=Wien%20Bahnsteggasse&start=1,
OEFFHALTESTOGD.9311445,9311445,POINT (16.27961163801389 48.20011118790853),Tinterstraße,Tinterstraße,47A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Tinterstraße&start=1,
OEFFHALTESTOGD.9311446,9311446,POINT (16.27953983881004 48.200093287664664),Tinterstraße,Tinterstraße,47A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Tinterstraße&start=1,
OEFFHALTESTOGD.9311447,9311447,POINT (16.349850501801406 48.13302506384073),Vorarlberger Allee,Vorarlberger Allee,67B,,2,https://anachb.vor.at?P=SQ&input=Wien%20Vorarlberger%20Allee&start=1,
OEFFHALTESTOGD.9311448,9311448,POINT (16.34982350086213 48.132905064144296),Vorarlberger Allee,Vorarlberger Allee,67B,,2,https://anachb.vor.at?P=SQ&input=Wien%20Vorarlberger%20Allee&start=1,
OEFFHALTESTOGD.9311449,9311449,POINT (16.370224344701903 48.23586216052204),Jägerstraße,Jägerstraße,5B,,2,https://anachb.vor.at?P=SQ&input=Wien%20Jägerstraße&start=1,
OEFFHALTESTOGD.9311450,9311450,POINT (16.37024234362557 48.2350005652361),Jägerstraße,Jägerstraße,N31,,11,https://anachb.vor.at?P=SQ&input=Wien%20Jägerstraße&start=1,
OEFFHALTESTOGD.9311451,9311451,POINT (16.37024234362557 48.2350005652361),Jägerstraße,Jägerstraße,N31,,10,https://anachb.vor.at?P=SQ&input=Wien%20Jägerstraße&start=1,
OEFFHALTESTOGD.9311452,9311452,POINT (16.37020634471419 48.235329563691124),Jägerstraße,Jägerstraße,33,,1,https://anachb.vor.at?P=SQ&input=Wien%20Jägerstraße&start=1,
OEFFHALTESTOGD.9311453,9311453,POINT (16.395269237844726 48.246481394300275),Neue Donau,Neue Donau,20A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Neue%20Donau&start=1,
OEFFHALTESTOGD.9311454,9311454,POINT (16.395188437487846 48.24646349461599),Neue Donau,Neue Donau,20A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Neue%20Donau&start=1,
OEFFHALTESTOGD.9311455,9311455,POINT (16.455303217516697 48.15484339393463),Pantucekgasse/Widholzgasse,Pantucekgasse/Widholzgasse,"11, 71",,1,https://anachb.vor.at?P=SQ&input=Wien%20Pantucekgasse/Widholzgasse&start=1,
OEFFHALTESTOGD.9311456,9311456,POINT (16.455455916638353 48.15477149435967),Pantucekgasse/Widholzgasse,Pantucekgasse/Widholzgasse,"11, 71",,1,https://anachb.vor.at?P=SQ&input=Wien%20Pantucekgasse/Widholzgasse&start=1,
OEFFHALTESTOGD.9311457,9311457,POINT (16.459354597476807 48.155017191400226),Leberberg,Leberberg,"11, 71",,1,https://anachb.vor.at?P=SQ&input=Wien%20Leberberg&start=1,
